team_id,full_name,pfr_abbreviation,fff_abbreviation,vegas_name,conference,division
1,Arizona Cardinals,ARI,ARI,Arizona,nfc,nfc_west
2,Atlanta Falcons,ATL,ATL,Atlanta,nfc,nfc_south
3,Baltimore Ravens,BAL,BAL,Baltimore,afc,afc_north
4,Buffalo Bills,BUF,BUF,Buffalo,afc,afc_east
5,Carolina Panthers,CAR,CAR,Carolina,nfc,nfc_south
6,Chicago Bears,CHI,CHI,Chicago,nfc,nfc_north
7,Cincinnati Bengals,CIN,CIN,Cincinnati,afc,afc_north
8,Cleveland Browns,CLE,CLE,Cleveland,afc,afc_north
9,Dallas Cowboys,DAL,DAL,Dallas,nfc,nfc_east
10,Denver Broncos,DEN,DEN,Denver,afc,afc_west
11,Detroit Lions,DET,DET,Detroit,nfc,nfc_north
12,Green Bay Packers,GNB,GB,Green_Bay,nfc,nfc_north
13,Houston Texans,HOU,HOU,Houston,afc,afc_south
14,Indianapolis Colts,IND,IND,Indianapolis,afc,afc_south
15,Jacksonville Jaguars,JAX,JAX,Jacksonville,afc,afc_south
16,Kansas City Chiefs,KAN,KC,Kansas,afc,afc_west
17,Las Vegas Raiders,LVR,LV,Las_Vegas,afc,afc_west
18,Los Angeles Chargers,LAC,LAC,LA_Chargers,afc,afc_west
19,Los Angeles Rams,LAR,LAR,LA_Rams,nfc,nfc_west
20,Miami Dolphins,MIA,MIA,Miami,afc,afc_east
21,Minnesota Vikings,MIN,MIN,Minnesota,nfc,nfc_north
22,New England Patriots,NWE,NE,New_England,afc,afc_east
23,New Orleans Saints,NOR,NO,New_Orleans,nfc,nfc_south
24,New York Giants,NYG,NYG,NY_Giants,nfc,nfc_east
25,New York Jets,NYJ,NYJ,NY_Jets,afc,afc_east
26,Philadelphia Eagles,PHI,PHI,Philadelphia,nfc,nfc_east
27,Pittsburgh Steelers,PIT,PIT,Pittsburgh,afc,afc_north
28,San Francisco 49ers,SFO,SF,San_Francisco,nfc,nfc_west
29,Seattle Seahawks,SEA,SEA,Seattle,nfc,nfc_west
30,Tampa Bay Buccaneers,TAM,TB,Tampa_Bay,nfc,nfc_south
31,Tennessee Titans,TEN,TEN,Tennessee,afc,afc_south
32,Washington Football Team,WAS,WAS,Washington,nfc,nfc_east
